区分,施設名,郵便番号,住所,電話番号,地区,校区,公共・民間,マッチングレベル,世界_10進_X,世界_10進_Y
津波避難ビル,大村小学校,440-0081,豊橋市大村町字地之神9,0532-52-4235,北部,大村,公共,地番・番地,137.3978061,34.78988982
津波避難ビル,下地小学校,440-0086,豊橋市下地町字宮前68,0532-54-2233,北部,下地,公共,地番・番地,137.3847799,34.77770063
津波避難ビル,北部中学校,440-0086,豊橋市下地町字長池1,0532-52-3108,北部,下地,公共,地番・番地,137.385108,34.78179134
津波避難ビル,津田小学校,440-0093,豊橋市横須賀町宮元3-1,0532-31-4429,北部,津田,公共,地番（枝番まで）・号,137.3668981,34.78130652
津波避難ビル,前芝小学校,441-0152,豊橋市前芝町字西堤30,0532-31-0500,前芝,前芝,公共,地番・番地,137.3396649,34.78605731
津波避難ビル,前芝中学校,441-0152,豊橋市前芝町字塩見1,0532-31-0507,前芝,前芝,公共,地番・番地,137.3384553,34.78633657
津波避難ビル,前芝住宅,441-0156,豊橋市西浜町3-1,-,前芝,前芝,公共,地番（枝番まで）・号,137.3314733,34.78487672
津波避難ビル,前芝校区市民館,441-0152,豊橋市前芝町字塩見5-1,0532-32-3750,前芝,前芝,公共,地番（枝番まで）・号,137.3376895,34.78667756
津波避難ビル,中消防署前芝出張所,441-0151,豊橋市日色野町字新切46-1,0532-31-0119,前芝,前芝,公共,地番（枝番まで）・号,137.3441735,34.78420877
津波避難ビル,上下水道局,440-0016,豊橋市牛川町字下モ田29-1,0532-51-2702,青陵,牛川,公共,地番（枝番まで）・号,137.3996458,34.77261471
津波避難ビル,芦原小学校,441-8155,豊橋市芦原町字嵩山地42-1,0532-48-1216,本郷,芦原,公共,地番（枝番まで）・号,137.3813633,34.71814867
津波避難ビル,磯辺小学校,441-8145,豊橋市駒形町字丸山61,0532-45-2608,南陽,磯辺,公共,地番・番地,137.3670637,34.72837854
津波避難ビル,南陽中学校,441-8145,豊橋市駒形町字南欠下1-1,0532-48-5620,南陽,磯辺,公共,地番（枝番まで）・号,137.3638295,34.73339202
津波避難ビル,中央図書館,441-8025,豊橋市羽根井町48,0532-31-3131,羽田,羽根井,公共,地番・番地,137.3762842,34.7540819
津波避難ビル,牟呂小学校,441-8093,豊橋市牟呂中村町1-4,0532-31-3101,牟呂,牟呂,公共,地番（枝番まで）・号,137.3583387,34.75091962
津波避難ビル,牟呂中学校,441-8077,豊橋市神野新田町字ｲﾉ割1-3,0532-31-2550,牟呂,牟呂,公共,地番（枝番まで）・号,137.3515652,34.74915523
津波避難ビル,県立西高等学校,441-8087,豊橋市牟呂町西明治新右前4,0532-31-8800,牟呂,牟呂,公共,地番・番地,137.3413694,34.76100661
津波避難ビル,ライフポートとよはし,441-8075,豊橋市神野ふ頭町3-22,0532-33-2111,牟呂,牟呂,公共,地番（枝番まで）・号,137.334222,34.73277035
津波避難ビル,汐田小学校,441-8087,豊橋市牟呂町字北汐田50-1,0532-47-3220,牟呂,汐田,公共,地番（枝番まで）・号,137.3628467,34.74648163
津波避難ビル,青少年センター,441-8087,豊橋市牟呂町字東里26,0532-46-8925,牟呂,汐田,公共,地番・番地,137.3718422,34.74952286
津波避難ビル,西部住宅,441-8087,豊橋市牟呂町字東里29-1,-,牟呂,汐田,公共,地番（枝番まで）・号,137.370951,34.74981706
津波避難ビル,西部住宅,441-8087,豊橋市牟呂町字中西1-2,-,牟呂,汐田,公共,地番（枝番まで）・号,137.3687494,34.74950483
津波避難ビル,南消防署西分署,441-8083,豊橋市東脇一丁目1-8,0532-33-0119,牟呂,汐田,公共,地番（枝番まで）・号,137.3684624,34.75494948
津波避難ビル,松葉小学校,440-0076,豊橋市大橋通三丁目107,0532-52-0265,豊城,松葉,公共,地番・番地,137.3811986,34.76855298
津波避難ビル,吉田方校区市民館,441-8002,豊橋市吉川町118,0532-31-9651,吉田方,吉田方,公共,地番・番地,137.3642277,34.77120729
津波避難ビル,吉田方小学校,441-8002,豊橋市吉川町118,0532-31-2055,吉田方,吉田方,公共,地番・番地,137.3642277,34.77120729
津波避難ビル,吉田方中学校,441-8006,豊橋市高洲町字長弦73-1,0532-31-4887,吉田方,吉田方,公共,地番（枝番まで）・号,137.3505573,34.77043254
津波避難ビル,三ツ相ポンプ場,441-8008,豊橋市三ツ相町38,-,吉田方,吉田方,公共,地番・番地,137.3664539,34.77614318
津波避難ビル,吉田方排水機場,441-8006,豊橋市高洲町字大江60-2,-,吉田方,吉田方,公共,地番（枝番まで）・号,137.342418,34.7704961
津波避難ビル,介護老人福祉施設倶楽荘,440-0094,豊橋市川崎町216-2,-,北部,津田,民間,地番（枝番まで）・号,137.3576409,34.78318091
津波避難ビル,Flats（フラッツ）,441-0152,豊橋市前芝町字東堤32-1、33-1,-,前芝,前芝,民間,地番（枝番まで）・号,137.3431298,34.7840092
津波避難ビル,メゾンドプラージュ,441-0156,豊橋市西浜町5-9,-,前芝,前芝,民間,地番（枝番まで）・号,137.3311019,34.7858336
津波避難ビル,メゾンドプラージュⅡ,441-0156,豊橋市西浜町5-8,-,前芝,前芝,民間,地番（枝番まで）・号,137.3309868,34.78597616
津波避難ビル,特別養護老人ホーム喜寿苑,441-0152,豊橋市前芝町字加藤381-2,-,前芝,前芝,民間,地番（枝番まで）・号,137.3453614,34.77991262
津波避難ビル,ボヌール,441-8077,豊橋市神野新田町字ヨノ割91-1,-,牟呂,牟呂,民間,地番（枝番まで）・号,137.3462335,34.74279392
津波避難ビル,クオリアビル,441-8088,豊橋市牟呂市場町11-1,-,牟呂,牟呂,民間,地番（枝番まで）・号,137.3588592,34.74925944
津波避難ビル,平成荘,441-8077,豊橋市神野新田町字ヘノ割33-1,-,牟呂,牟呂,民間,地番（枝番まで）・号,137.3474258,34.73586401
津波避難ビル,スペリア豊橋,441-8087,豊橋市牟呂町字古幡焼17,-,牟呂,汐田,民間,地番・番地,137.3643239,34.74224019
津波避難ビル,ハイツ仲六,441-8083,豊橋市東脇一丁目3-10,-,牟呂,汐田,民間,地番（枝番まで）・号,137.3676384,34.75500224
津波避難ビル,ホテルシーパレスリゾートホテル棟,441-8077,豊橋市神野新田町字ミノ割1-3,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3231111,34.76152752
津波避難ビル,障害者支援施設シーサイド吉前,441-8004,豊橋市吉前町字西吉前新田131-3,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3289646,34.77131463
津波避難ビル,総合ビル,441-8006,豊橋市高洲町字高洲41,-,吉田方,吉田方,民間,地番・番地,137.3551889,34.77106872
津波避難ビル,サンフォレストＡ棟,441-8003,豊橋市小向町字北小向39-2,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3601971,34.76888959
津波避難ビル,サンフォレストＢ棟,441-8003,豊橋市小向町字北小向39-1,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.36027,34.76869159
津波避難ビル,ナチュールフジ,441-8003,豊橋市小向町字北小向134-1,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3621493,34.76768011
津波避難ビル,サンフジ,441-8016,豊橋市新栄町字南小向27,-,吉田方,吉田方,民間,地番・番地,137.3605062,34.76680411
津波避難ビル,ラヴィエ・セレナード,441-8011,豊橋市菰口町三丁目37,-,吉田方,吉田方,民間,地番・番地,137.3760152,34.76993514
津波避難ビル,杉浦マンション,441-8011,豊橋市菰口町四丁目1-1,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3725838,34.76894718
津波避難ビル,メゾン・エスペランス,441-8016,豊橋市新栄町字南小向151,-,吉田方,吉田方,民間,地番・番地,137.3621688,34.76535993
津波避難ビル,フォレスト野田,441-8001,豊橋市野田町字野田165-1-2、166-1-2,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3724413,34.77508323
津波避難ビル,アーバンヒル馬見塚,441-8007,豊橋市馬見塚町35,-,吉田方,吉田方,民間,地番・番地,137.3594011,34.77379103
津波避難ビル,サンシティ吉川,441-8002,豊橋市吉川町29-1,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.3676476,34.77152192
津波避難ビル,グランコート新栄,441-8016,豊橋市新栄町字一本木5-3,-,吉田方,吉田方,民間,地番（枝番まで）・号,137.363615,34.76146135
津波避難ビル,おかだ屋ベイサイド,441-8077,豊橋市神野新田町字沖ノ島176-1,-,南陽,磯辺,民間,地番（枝番まで）・号,137.3531218,34.72700685
